state,district,date,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
ARUNACHAL PRADESH,NAMSAI,2025-03-01,,,,50.0,553.0,213.0,274.0
ARUNACHAL PRADESH,PAKKE KESSANG,2025-03-01,,,,,,12.0,6.0
ARUNACHAL PRADESH,PAPUM PARE,2025-03-01,,,,163.0,1311.0,345.0,717.0
ARUNACHAL PRADESH,SHI-YOMI,2025-03-01,,,,,,14.0,12.0
ARUNACHAL PRADESH,SIANG,2025-03-01,,,,25.0,159.0,54.0,63.0
ARUNACHAL PRADESH,TAWANG,2025-03-01,,,,27.0,117.0,120.0,78.0
ARUNACHAL PRADESH,TIRAP,2025-03-01,,,,18.0,235.0,61.0,41.0
ARUNACHAL PRADESH,UPPER SIANG,2025-03-01,,,,12.0,40.0,53.0,72.0
ARUNACHAL PRADESH,UPPER SUBANSIRI,2025-03-01,,,,106.0,570.0,217.0,342.0
ARUNACHAL PRADESH,WEST KAMENG,2025-03-01,,,,25.0,116.0,188.0,425.0
ARUNACHAL PRADESH,WEST SIANG,2025-03-01,,,,110.0,1156.0,212.0,175.0
ASSAM,BAJALI,2025-03-01,,,,,,,
ASSAM,BAKSA,2025-03-01,,,,397.0,4438.0,1333.0,527.0
ASSAM,BARPETA,2025-03-01,,,,821.0,9181.0,8751.0,2053.0
ASSAM,BISWANATH,2025-03-01,,,,227.0,2732.0,524.0,317.0
ASSAM,BONGAIGAON,2025-03-01,,,,699.0,8681.0,3011.0,1170.0
ASSAM,CACHAR,2025-03-01,,,,1234.0,10000.0,1988.0,2199.0
ASSAM,CHARAIDEO,2025-03-01,,,,145.0,1953.0,415.0,202.0
ASSAM,CHIRANG,2025-03-01,,,,179.0,1711.0,1611.0,679.0
ASSAM,DARRANG,2025-03-01,,,,661.0,5819.0,663.0,942.0
ASSAM,DHEMAJI,2025-03-01,,,,534.0,5979.0,1622.0,834.0
ASSAM,DHUBRI,2025-03-01,,,,1070.0,10824.0,6765.0,1655.0
ASSAM,DIBRUGARH,2025-03-01,,,,338.0,5542.0,1444.0,2315.0
ASSAM,DIMA HASAO,2025-03-01,,,,,,,
ASSAM,GOALPARA,2025-03-01,,,,768.0,6461.0,715.0,734.0
ASSAM,GOLAGHAT,2025-03-01,,,,587.0,8416.0,704.0,704.0
ASSAM,HAILAKANDI,2025-03-01,,,,211.0,1822.0,355.0,439.0
ASSAM,HOJAI,2025-03-01,,,,319.0,3439.0,1585.0,1239.0
ASSAM,JORHAT,2025-03-01,,,,320.0,5231.0,867.0,571.0
ASSAM,KAMRUP,2025-03-01,,,,319.0,5222.0,2602.0,1197.0
ASSAM,KAMRUP METRO,2025-03-01,,,,579.0,5320.0,1936.0,1525.0
ASSAM,KARBI ANGLONG,2025-03-01,,,,675.0,6192.0,1984.0,1047.0
ASSAM,KARIMGANJ,2025-03-01,,,,567.0,5374.0,963.0,859.0
ASSAM,KOKRAJHAR,2025-03-01,,,,538.0,3272.0,3407.0,873.0
ASSAM,LAKHIMPUR,2025-03-01,,,,577.0,9766.0,1470.0,1353.0
ASSAM,MAJULI,2025-03-01,,,,55.0,569.0,343.0,101.0
ASSAM,MARIGAON,2025-03-01,,,,1006.0,7948.0,2305.0,1218.0
ASSAM,NAGAON,2025-03-01,,,,1216.0,16723.0,3208.0,5081.0
ASSAM,NALBARI,2025-03-01,,,,509.0,4658.0,2028.0,335.0
ASSAM,NORTH CACHAR HILLS,2025-03-01,,,,74.0,648.0,79.0,104.0
ASSAM,SIBSAGAR,2025-03-01,,,,146.0,1460.0,801.0,310.0
ASSAM,SIVASAGAR,2025-03-01,,,,,,,
ASSAM,SONITPUR,2025-03-01,,,,802.0,9796.0,1830.0,1158.0
ASSAM,SOUTH SALMARA MANKACHAR,2025-03-01,,,,197.0,3153.0,249.0,133.0
ASSAM,SRIBHUMI,2025-03-01,,,,,,,
ASSAM,TAMULPUR DISTRICT,2025-03-01,,,,,,,
ASSAM,TINSUKIA,2025-03-01,,,,499.0,7786.0,1135.0,846.0
ASSAM,UDALGURI,2025-03-01,,,,367.0,4869.0,2332.0,951.0
ASSAM,WEST KARBI ANGLONG,2025-03-01,,,,56.0,360.0,76.0,159.0
BALANAGAR,IDPL COLONY,2025-03-01,,,,,,,
BIHAR,ARARIA,2025-03-01,,,,2774.0,32707.0,13043.0,13990.0
BIHAR,ARWAL,2025-03-01,,,,558.0,5961.0,1438.0,3294.0
BIHAR,AURANGABAD,2025-03-01,,,,2788.0,23698.0,6082.0,7741.0
BIHAR,AURANGABAD(BH),2025-03-01,,,,,,,
BIHAR,BANKA,2025-03-01,,,,2100.0,23353.0,6904.0,7892.0
BIHAR,BEGUSARAI,2025-03-01,,,,3601.0,28482.0,13077.0,12307.0
BIHAR,BHABUA,2025-03-01,,,,,,,
BIHAR,BHAGALPUR,2025-03-01,,,,4949.0,37353.0,13344.0,11954.0
BIHAR,BHOJPUR,2025-03-01,,,,2688.0,29327.0,5124.0,12146.0
BIHAR,BUXAR,2025-03-01,,,,1661.0,18351.0,3200.0,5001.0
BIHAR,DARBHANGA,2025-03-01,,,,2612.0,28474.0,13331.0,17721.0
BIHAR,EAST CHAMPARAN,2025-03-01,,,,4175.0,47030.0,13825.0,20084.0
BIHAR,GAYA,2025-03-01,,,,5828.0,49924.0,16486.0,21241.0
BIHAR,GOPALGANJ,2025-03-01,,,,2129.0,22709.0,6451.0,7603.0
BIHAR,JAMUI,2025-03-01,,,,1393.0,15286.0,6531.0,6134.0
BIHAR,JEHANABAD,2025-03-01,,,,988.0,8898.0,2391.0,4017.0
BIHAR,KAIMUR (BHABUA),2025-03-01,,,,847.0,8728.0,6479.0,7450.0
BIHAR,KATIHAR,2025-03-01,,,,2845.0,33082.0,16676.0,16958.0
BIHAR,KHAGARIA,2025-03-01,,,,1450.0,12708.0,6128.0,6877.0
BIHAR,KISHANGANJ,2025-03-01,,,,1811.0,25016.0,7612.0,8682.0
BIHAR,LAKHISARAI,2025-03-01,,,,777.0,7918.0,3715.0,3972.0
BIHAR,MADHEPURA,2025-03-01,,,,1283.0,17649.0,6355.0,11462.0
BIHAR,MADHUBANI,2025-03-01,,,,3407.0,41495.0,16996.0,20887.0
BIHAR,MONGHYR,2025-03-01,,,,,,,
BIHAR,MUNGER,2025-03-01,,,,992.0,13363.0,3099.0,4705.0
BIHAR,MUZAFFARPUR,2025-03-01,,,,4456.0,42818.0,13651.0,18161.0
BIHAR,NALANDA,2025-03-01,,,,2310.0,21564.0,6154.0,11926.0
BIHAR,NAWADA,2025-03-01,,,,1429.0,16428.0,6780.0,9577.0
BIHAR,PASHCHIM CHAMPARAN,2025-03-01,,,,,,,
BIHAR,PATNA,2025-03-01,,,,4807.0,41971.0,11916.0,18174.0
BIHAR,PURBA CHAMPARAN,2025-03-01,,,,,,,
BIHAR,PURBI CHAMPARAN,2025-03-01,,,,,,,
BIHAR,PURNEA,2025-03-01,,,,,,112.0,435.0
BIHAR,PURNIA,2025-03-01,,,,2194.0,26114.0,13497.0,17552.0
BIHAR,ROHTAS,2025-03-01,,,,2121.0,19596.0,7472.0,9366.0
BIHAR,SAHARSA,2025-03-01,,,,1584.0,18727.0,6272.0,12430.0
BIHAR,SAMASTIPUR,2025-03-01,,,,4382.0,44385.0,13667.0,19484.0
BIHAR,SAMSTIPUR,2025-03-01,,,,,,,
BIHAR,SARAN,2025-03-01,,,,3695.0,41077.0,7779.0,13089.0
BIHAR,SHEIKHPURA,2025-03-01,,,,490.0,5055.0,1885.0,3455.0
BIHAR,SHEIKPURA,2025-03-01,,,,,,,
BIHAR,SHEOHAR,2025-03-01,,,,778.0,7797.0,1803.0,3248.0
BIHAR,SITAMARHI,2025-03-01,,,,3044.0,36696.0,11896.0,16604.0
BIHAR,SIWAN,2025-03-01,,,,2637.0,26684.0,6752.0,10438.0
BIHAR,SUPAUL,2025-03-01,,,,1661.0,29320.0,6821.0,11721.0
BIHAR,VAISHALI,2025-03-01,,,,3660.0,39009.0,9704.0,16175.0
BIHAR,WEST CHAMPARAN,2025-03-01,,,,4317.0,42725.0,9731.0,15377.0
CHANDIGARH,CHANDIGARH,2025-03-01,,,,1296.0,8949.0,3053.0,3377.0
CHANDIGARH,MOHALI,2025-03-01,,,,,,,
CHANDIGARH,RUPNAGAR,2025-03-01,,,,,,,
CHHATISGARH,RAIPUR,2025-03-01,,,,,,,
CHHATTISGARH,BALOD,2025-03-01,,,,827.0,10913.0,982.0,4832.0
CHHATTISGARH,BALODA BAZAR,2025-03-01,,,,369.0,16044.0,1619.0,5092.0
CHHATTISGARH,BALRAMPUR,2025-03-01,,,,392.0,4458.0,522.0,1411.0
CHHATTISGARH,BASTAR,2025-03-01,,,,878.0,10394.0,990.0,4272.0
CHHATTISGARH,BEMETARA,2025-03-01,,,,354.0,10548.0,1030.0,7139.0
CHHATTISGARH,BIJAPUR,2025-03-01,,,,294.0,3385.0,1452.0,1742.0
CHHATTISGARH,BILASPUR,2025-03-01,,,,1066.0,19431.0,2414.0,9589.0
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,2025-03-01,,,,364.0,771.0,439.0,1084.0
CHHATTISGARH,DANTEWADA,2025-03-01,,,,162.0,243.0,189.0,525.0
CHHATTISGARH,DHAMTARI,2025-03-01,,,,382.0,10273.0,748.0,5784.0
CHHATTISGARH,DURG,2025-03-01,,,,1512.0,10144.0,2548.0,10749.0
CHHATTISGARH,GARIYABAND,2025-03-01,,,,122.0,5062.0,471.0,1694.0
CHHATTISGARH,GAURELA-PENDRA-MARWAHI,2025-03-01,,,,79.0,773.0,11.0,105.0
CHHATTISGARH,GAURELLA PENDRA MARWAHI,2025-03-01,,,,,,,
CHHATTISGARH,JANJGIR - CHAMPA,2025-03-01,,,,,,,
CHHATTISGARH,JANJGIR CHAMPA,2025-03-01,,,,,,,
CHHATTISGARH,JANJGIR-CHAMPA,2025-03-01,,,,1438.0,30658.0,2728.0,10158.0
CHHATTISGARH,JASHPUR,2025-03-01,,,,1352.0,6992.0,823.0,3469.0
CHHATTISGARH,KABEERDHAM,2025-03-01,,,,215.0,3840.0,407.0,1250.0
CHHATTISGARH,KANKER,2025-03-01,,,,558.0,4198.0,547.0,2455.0
CHHATTISGARH,KAWARDHA,2025-03-01,,,,637.0,17645.0,712.0,3363.0
CHHATTISGARH,KHAIRAGARH CHHUIKHADAN GANDAI,2025-03-01,,,,,,,
CHHATTISGARH,KONDAGAON,2025-03-01,,,,114.0,1192.0,472.0,2224.0
CHHATTISGARH,KORBA,2025-03-01,,,,223.0,4727.0,5729.0,6814.0
CHHATTISGARH,KORIYA,2025-03-01,,,,413.0,3746.0,860.0,3347.0
CHHATTISGARH,MAHASAMUND,2025-03-01,,,,309.0,3131.0,1257.0,5727.0
CHHATTISGARH,MANENDRAGARHCHIRMIRIBHARATPUR,2025-03-01,,,,,,,
CHHATTISGARH,MANENDRAGARH–CHIRMIRI–BHARATPUR,2025-03-01,,,,,,,
CHHATTISGARH,MOHALLA-MANPUR-AMBAGARH CHOWKI,2025-03-01,,,,14.0,54.0,,
CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,2025-03-01,,,,99.0,611.0,22.0,123.0
CHHATTISGARH,MUNGELI,2025-03-01,,,,278.0,15373.0,936.0,2497.0
CHHATTISGARH,NARAYANPUR,2025-03-01,,,,358.0,1920.0,504.0,1544.0
CHHATTISGARH,RAIGARH,2025-03-01,,,,1833.0,19707.0,2241.0,7408.0
CHHATTISGARH,RAIPUR,2025-03-01,,,,1175.0,20034.0,2737.0,9682.0
CHHATTISGARH,RAJNANDGAON,2025-03-01,,,,886.0,24246.0,1554.0,9521.0
CHHATTISGARH,SAKTI,2025-03-01,,,,99.0,789.0,10.0,49.0
CHHATTISGARH,SARANGARH-BILAIGARH,2025-03-01,,,,,,,
CHHATTISGARH,SUKMA,2025-03-01,,,,260.0,1427.0,398.0,1033.0
CHHATTISGARH,SURAJPUR,2025-03-01,,,,570.0,7642.0,741.0,4336.0
CHHATTISGARH,SURGUJA,2025-03-01,,,,939.0,11184.0,981.0,3883.0
CHHATTISGARH,UTTAR BASTAR KANKER,2025-03-01,,,,128.0,1212.0,181.0,1236.0
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,2025-03-01,,,,,,13.0,126.0
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,2025-03-01,,,,49.0,593.0,932.0,2268.0
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,2025-03-01,,,,,,99.0,287.0
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,2025-03-01,,,,34.0,572.0,20.0,53.0
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,2025-03-01,,,,35.0,156.0,,
DAMAN & DIU,DAMAN,2025-03-01,,,,,,73.0,231.0
DAMAN & DIU,DIU,2025-03-01,,,,,,15.0,48.0
DAMAN AND DIU,DAMAN,2025-03-01,,,,18.0,186.0,329.0,237.0
DAMAN AND DIU,DIU,2025-03-01,,,,,,234.0,122.0
DARBHANGA,NEAR UNIVERSITY THANA,2025-03-01,,,,,,,
DELHI,CENTRAL DELHI,2025-03-01,,,,1049.0,12943.0,2299.0,3805.0
DELHI,EAST DELHI,2025-03-01,,,,1926.0,16285.0,4902.0,8233.0
DELHI,NAJAFGARH,2025-03-01,,,,,,12.0,183.0
DELHI,NEW DELHI,2025-03-01,,,,252.0,1390.0,392.0,294.0
DELHI,NORTH DELHI,2025-03-01,,,,965.0,11456.0,2600.0,4493.0
DELHI,NORTH EAST,2025-03-01,,,,23.0,2908.0,238.0,4421.0
DELHI,NORTH EAST   *,2025-03-01,,,,,,,
DELHI,NORTH EAST DELHI,2025-03-01,,,,2275.0,15592.0,7096.0,6613.0
DELHI,NORTH WEST DELHI,2025-03-01,,,,6373.0,62825.0,15709.0,29195.0
DELHI,SHAHDARA,2025-03-01,,,,660.0,4206.0,252.0,658.0
DELHI,SOUTH DELHI,2025-03-01,,,,2881.0,36563.0,11377.0,16784.0
DELHI,SOUTH EAST DELHI,2025-03-01,,,,,,19.0,40.0
DELHI,SOUTH WEST DELHI,2025-03-01,,,,3502.0,32761.0,8641.0,11833.0
DELHI,WEST DELHI,2025-03-01,,,,4328.0,45156.0,8635.0,15644.0
GOA,BARDEZ,2025-03-01,,,,,,,
GOA,BICHOLIM,2025-03-01,,,,,,,
GOA,NORTH GOA,2025-03-01,,,,653.0,3568.0,1883.0,2559.0
GOA,SOUTH GOA,2025-03-01,,,,570.0,2780.0,2154.0,2387.0
GOA,TISWADI,2025-03-01,,,,,,,
GUJARAT,AHMADABAD,2025-03-01,,,,,,41.0,733.0
GUJARAT,AHMEDABAD,2025-03-01,,,,9162.0,55255.0,19111.0,29284.0
GUJARAT,AMRELI,2025-03-01,,,,1128.0,7235.0,3463.0,3849.0
GUJARAT,ANAND,2025-03-01,,,,1001.0,11416.0,5698.0,8373.0
GUJARAT,ARVALLI,2025-03-01,,,,740.0,1351.0,1595.0,1109.0
GUJARAT,BANAS KANTHA,2025-03-01,,,,,,,
GUJARAT,BANASKANTHA,2025-03-01,,,,2962.0,12676.0,8364.0,10340.0
GUJARAT,BHARUCH,2025-03-01,,,,2761.0,13952.0,4757.0,5176.0
GUJARAT,BHAVNAGAR,2025-03-01,,,,2409.0,14481.0,7812.0,10258.0
GUJARAT,BOTAD,2025-03-01,,,,721.0,1931.0,1347.0,831.0
GUJARAT,CHHOTAUDEPUR,2025-03-01,,,,740.0,2493.0,1551.0,1799.0
GUJARAT,DAHOD,2025-03-01,,,,2071.0,11658.0,6531.0,7658.0
GUJARAT,DANG,2025-03-01,,,,,,,
GUJARAT,DEVBHUMI DWARKA,2025-03-01,,,,167.0,1511.0,1829.0,932.0
GUJARAT,DOHAD,2025-03-01,,,,42.0,920.0,192.0,1688.0
GUJARAT,GANDHINAGAR,2025-03-01,,,,1801.0,12352.0,4273.0,5905.0
GUJARAT,GIR SOMNATH,2025-03-01,,,,933.0,2191.0,2574.0,1707.0
GUJARAT,JAMNAGAR,2025-03-01,,,,1436.0,11597.0,4794.0,5215.0
GUJARAT,JUNAGADH,2025-03-01,,,,1663.0,9295.0,3500.0,8433.0
GUJARAT,KACHCHH,2025-03-01,,,,2113.0,10502.0,9380.0,6902.0
GUJARAT,KHEDA,2025-03-01,,,,3116.0,17120.0,6929.0,10058.0
GUJARAT,MAHESANA,2025-03-01,,,,2590.0,12569.0,5066.0,7773.0
GUJARAT,MAHISAGAR,2025-03-01,,,,238.0,1710.0,1999.0,1808.0
GUJARAT,MORBI,2025-03-01,,,,552.0,2353.0,2220.0,1289.0
GUJARAT,NARMADA,2025-03-01,,,,955.0,3082.0,2020.0,4588.0
GUJARAT,NAVSARI,2025-03-01,,,,2844.0,8310.0,2369.0,2679.0
GUJARAT,PANCH MAHALS,2025-03-01,,,,,,,
GUJARAT,PANCHMAHALS,2025-03-01,,,,878.0,6690.0,3743.0,9258.0
GUJARAT,PATAN,2025-03-01,,,,988.0,6330.0,3086.0,4716.0
GUJARAT,PORBANDAR,2025-03-01,,,,829.0,3297.0,1770.0,2266.0
GUJARAT,RAJKOT,2025-03-01,,,,2099.0,22508.0,9086.0,10727.0
GUJARAT,SABAR KANTHA,2025-03-01,,,,,,,
GUJARAT,SABARKANTHA,2025-03-01,,,,2777.0,10632.0,4116.0,6512.0
GUJARAT,SURAT,2025-03-01,,,,7172.0,56297.0,15243.0,18852.0
GUJARAT,SURENDRA NAGAR,2025-03-01,,,,1653.0,12061.0,7191.0,7521.0
GUJARAT,SURENDRANAGAR,2025-03-01,,,,,,,
GUJARAT,TAPI,2025-03-01,,,,1115.0,3072.0,1872.0,3805.0
GUJARAT,THE DANGS,2025-03-01,,,,484.0,1400.0,1614.0,2487.0
GUJARAT,VADODARA,2025-03-01,,,,3492.0,27140.0,7894.0,17180.0
GUJARAT,VALSAD,2025-03-01,,,,3409.0,11950.0,4860.0,6790.0
HARYANA,AKHERA,2025-03-01,,,,,,,
HARYANA,AMBALA,2025-03-01,,,,516.0,4084.0,2853.0,6773.0
HARYANA,BHIWANI,2025-03-01,,,,601.0,5350.0,4091.0,8113.0
HARYANA,CHARKHI DADRI,2025-03-01,,,,312.0,2114.0,238.0,857.0
HARYANA,FARIDABAD,2025-03-01,,,,2675.0,21482.0,5798.0,8083.0
HARYANA,FATEHABAD,2025-03-01,,,,802.0,7118.0,3580.0,6150.0
HARYANA,GURGAON,2025-03-01,,,,2270.0,19163.0,3789.0,4611.0
HARYANA,GURUGRAM,2025-03-01,,,,,,,
HARYANA,HISAR,2025-03-01,,,,1003.0,9821.0,4202.0,7560.0
HARYANA,JHAJJAR,2025-03-01,,,,808.0,5900.0,2471.0,3813.0
HARYANA,JHAJJAR *,2025-03-01,,,,,,,
HARYANA,JIND,2025-03-01,,,,673.0,5955.0,3562.0,7112.0
HARYANA,KAITHAL,2025-03-01,,,,969.0,8135.0,3091.0,6501.0
HARYANA,KARNAL,2025-03-01,,,,1203.0,9116.0,3424.0,8201.0
HARYANA,KURUKSHETRA,2025-03-01,,,,636.0,4982.0,2920.0,6507.0
HARYANA,MAHENDRAGARH,2025-03-01,,,,478.0,4766.0,1721.0,3292.0
HARYANA,MEWAT,2025-03-01,,,,814.0,7691.0,2592.0,2905.0
HARYANA,NUH,2025-03-01,,,,,,,
HARYANA,PALWAL,2025-03-01,,,,1067.0,9937.0,2662.0,3033.0
HARYANA,PANCHKULA,2025-03-01,,,,1000.0,5478.0,1692.0,2763.0
HARYANA,PANIPAT,2025-03-01,,,,393.0,2836.0,3293.0,6275.0
HARYANA,REWARI,2025-03-01,,,,903.0,5174.0,2125.0,3098.0
HARYANA,ROHTAK,2025-03-01,,,,577.0,3477.0,2767.0,7186.0
HARYANA,SIRSA,2025-03-01,,,,669.0,7127.0,4013.0,7036.0
HARYANA,SONIPAT,2025-03-01,,,,1089.0,8791.0,3831.0,6795.0
HARYANA,YAMUNA NAGAR,2025-03-01,,,,1085.0,8223.0,3318.0,6573.0
HARYANA,YAMUNANAGAR,2025-03-01,,,,,,14.0,90.0
HIMACHAL PRADESH,BILASPUR,2025-03-01,,,,136.0,885.0,1055.0,1907.0
HIMACHAL PRADESH,CHAMBA,2025-03-01,,,,1006.0,3938.0,1764.0,3313.0
HIMACHAL PRADESH,HAMIRPUR,2025-03-01,,,,103.0,756.0,1325.0,2008.0
HIMACHAL PRADESH,KANGRA,2025-03-01,,,,960.0,7812.0,5235.0,7358.0
HIMACHAL PRADESH,KINNAUR,2025-03-01,,,,,,145.0,250.0
HIMACHAL PRADESH,KULLU,2025-03-01,,,,273.0,1431.0,1231.0,1459.0
HIMACHAL PRADESH,LAHAUL AND SPITI,2025-03-01,,,,,,,
HIMACHAL PRADESH,LAHUL & SPITI,2025-03-01,,,,,,,
HIMACHAL PRADESH,LAHUL AND SPITI,2025-03-01,,,,,,,
HIMACHAL PRADESH,MANDI,2025-03-01,,,,730.0,3372.0,3777.0,4936.0
HIMACHAL PRADESH,SHIMLA,2025-03-01,,,,378.0,2808.0,2185.0,2872.0
