date,state,district,bio_age_5_17,bio_age_17_
2025-03-01,CHHATTISGARH,KAWARDHA,712,3363
2025-03-01,CHHATTISGARH,KONDAGAON,472,2224
2025-03-01,CHHATTISGARH,KORBA,5729,6814
2025-03-01,CHHATTISGARH,KORIYA,860,3347
2025-03-01,CHHATTISGARH,MAHASAMUND,1257,5727
2025-03-01,CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,22,123
2025-03-01,CHHATTISGARH,MUNGELI,936,2497
2025-03-01,CHHATTISGARH,NARAYANPUR,504,1544
2025-03-01,CHHATTISGARH,RAIGARH,2241,7408
2025-03-01,CHHATTISGARH,RAIPUR,2737,9682
2025-03-01,CHHATTISGARH,RAJNANDGAON,1554,9521
2025-03-01,CHHATTISGARH,SAKTI,10,49
2025-03-01,CHHATTISGARH,SUKMA,398,1033
2025-03-01,CHHATTISGARH,SURAJPUR,741,4336
2025-03-01,CHHATTISGARH,SURGUJA,981,3883
2025-03-01,CHHATTISGARH,UTTAR BASTAR KANKER,181,1236
2025-03-01,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,13,126
2025-03-01,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,932,2268
2025-03-01,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,99,287
2025-03-01,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,20,53
2025-03-01,DAMAN & DIU,DAMAN,73,231
2025-03-01,DAMAN & DIU,DIU,15,48
2025-03-01,DAMAN AND DIU,DAMAN,329,237
2025-03-01,DAMAN AND DIU,DIU,234,122
2025-03-01,DELHI,CENTRAL DELHI,2299,3805
2025-03-01,DELHI,EAST DELHI,4902,8233
2025-03-01,DELHI,NAJAFGARH,12,183
2025-03-01,DELHI,NEW DELHI,392,294
2025-03-01,DELHI,NORTH DELHI,2600,4493
2025-03-01,DELHI,NORTH EAST,238,4421
2025-03-01,DELHI,NORTH EAST DELHI,7096,6613
2025-03-01,DELHI,NORTH WEST DELHI,15709,29195
2025-03-01,DELHI,SHAHDARA,252,658
2025-03-01,DELHI,SOUTH DELHI,11377,16784
2025-03-01,DELHI,SOUTH EAST DELHI,19,40
2025-03-01,DELHI,SOUTH WEST DELHI,8641,11833
2025-03-01,DELHI,WEST DELHI,8635,15644
2025-03-01,GOA,NORTH GOA,1883,2559
2025-03-01,GOA,SOUTH GOA,2154,2387
2025-03-01,GUJARAT,AHMADABAD,41,733
2025-03-01,GUJARAT,AHMEDABAD,19111,29284
2025-03-01,GUJARAT,AMRELI,3463,3849
2025-03-01,GUJARAT,ANAND,5698,8373
2025-03-01,GUJARAT,ARVALLI,1595,1109
2025-03-01,GUJARAT,BANASKANTHA,8364,10340
2025-03-01,GUJARAT,BHARUCH,4757,5176
2025-03-01,GUJARAT,BHAVNAGAR,7812,10258
2025-03-01,GUJARAT,BOTAD,1347,831
2025-03-01,GUJARAT,CHHOTAUDEPUR,1551,1799
2025-03-01,GUJARAT,DAHOD,6531,7658
2025-03-01,GUJARAT,DEVBHUMI DWARKA,1829,932
2025-03-01,GUJARAT,DOHAD,192,1688
2025-03-01,GUJARAT,GANDHINAGAR,4273,5905
2025-03-01,GUJARAT,GIR SOMNATH,2574,1707
2025-03-01,GUJARAT,JAMNAGAR,4794,5215
2025-03-01,GUJARAT,JUNAGADH,3500,8433
2025-03-01,GUJARAT,KACHCHH,9380,6902
2025-03-01,GUJARAT,KHEDA,6929,10058
2025-03-01,GUJARAT,MAHESANA,5066,7773
2025-03-01,GUJARAT,MAHISAGAR,1999,1808
2025-03-01,GUJARAT,MORBI,2220,1289
2025-03-01,GUJARAT,NARMADA,2020,4588
2025-03-01,GUJARAT,NAVSARI,2369,2679
2025-03-01,GUJARAT,PANCHMAHALS,3743,9258
2025-03-01,GUJARAT,PATAN,3086,4716
2025-03-01,GUJARAT,PORBANDAR,1770,2266
2025-03-01,GUJARAT,RAJKOT,9086,10727
2025-03-01,GUJARAT,SABARKANTHA,4116,6512
2025-03-01,GUJARAT,SURAT,15243,18852
2025-03-01,GUJARAT,SURENDRA NAGAR,7191,7521
2025-03-01,GUJARAT,TAPI,1872,3805
2025-03-01,GUJARAT,THE DANGS,1614,2487
2025-03-01,GUJARAT,VADODARA,7894,17180
2025-03-01,GUJARAT,VALSAD,4860,6790
2025-03-01,HARYANA,AMBALA,2853,6773
2025-03-01,HARYANA,BHIWANI,4091,8113
2025-03-01,HARYANA,CHARKHI DADRI,238,857
2025-03-01,HARYANA,FARIDABAD,5798,8083
2025-03-01,HARYANA,FATEHABAD,3580,6150
2025-03-01,HARYANA,GURGAON,3789,4611
2025-03-01,HARYANA,HISAR,4202,7560
2025-03-01,HARYANA,JHAJJAR,2471,3813
2025-03-01,HARYANA,JIND,3562,7112
2025-03-01,HARYANA,KAITHAL,3091,6501
2025-03-01,HARYANA,KARNAL,3424,8201
2025-03-01,HARYANA,KURUKSHETRA,2920,6507
2025-03-01,HARYANA,MAHENDRAGARH,1721,3292
2025-03-01,HARYANA,MEWAT,2592,2905
2025-03-01,HARYANA,PALWAL,2662,3033
2025-03-01,HARYANA,PANCHKULA,1692,2763
2025-03-01,HARYANA,PANIPAT,3293,6275
2025-03-01,HARYANA,REWARI,2125,3098
2025-03-01,HARYANA,ROHTAK,2767,7186
2025-03-01,HARYANA,SIRSA,4013,7036
2025-03-01,HARYANA,SONIPAT,3831,6795
2025-03-01,HARYANA,YAMUNA NAGAR,3318,6573
2025-03-01,HARYANA,YAMUNANAGAR,14,90
2025-03-01,HIMACHAL PRADESH,BILASPUR,1055,1907
2025-03-01,HIMACHAL PRADESH,CHAMBA,1764,3313
2025-03-01,HIMACHAL PRADESH,HAMIRPUR,1325,2008
2025-03-01,HIMACHAL PRADESH,KANGRA,5235,7358
2025-03-01,HIMACHAL PRADESH,KINNAUR,145,250
2025-03-01,HIMACHAL PRADESH,KULLU,1231,1459
2025-03-01,HIMACHAL PRADESH,MANDI,3777,4936
2025-03-01,HIMACHAL PRADESH,SHIMLA,2185,2872
2025-03-01,HIMACHAL PRADESH,SIRMAUR,2804,3382
2025-03-01,HIMACHAL PRADESH,SOLAN,1705,2383
2025-03-01,HIMACHAL PRADESH,UNA,1841,2517
2025-03-01,JAMMU AND KASHMIR,ANANTNAG,2053,3228
2025-03-01,JAMMU AND KASHMIR,BADGAM,439,1593
2025-03-01,JAMMU AND KASHMIR,BANDIPORE,866,1736
2025-03-01,JAMMU AND KASHMIR,BARAMULA,2703,5195
2025-03-01,JAMMU AND KASHMIR,BUDGAM,1447,949
2025-03-01,JAMMU AND KASHMIR,DODA,1793,2846
2025-03-01,JAMMU AND KASHMIR,GANDERBAL,668,1163
2025-03-01,JAMMU AND KASHMIR,JAMMU,3883,7915
2025-03-01,JAMMU AND KASHMIR,KARGIL,204,165
2025-03-01,JAMMU AND KASHMIR,KATHUA,1736,2985
2025-03-01,JAMMU AND KASHMIR,KISHTWAR,1049,1570
2025-03-01,JAMMU AND KASHMIR,KULGAM,1420,2071
2025-03-01,JAMMU AND KASHMIR,KUPWARA,1999,3376
2025-03-01,JAMMU AND KASHMIR,LEH,203,152
2025-03-01,JAMMU AND KASHMIR,PULWAMA,885,1881
2025-03-01,JAMMU AND KASHMIR,PUNCH,2451,4790
2025-03-01,JAMMU AND KASHMIR,RAJOURI,2947,5630
2025-03-01,JAMMU AND KASHMIR,RAMBAN,1146,1352
2025-03-01,JAMMU AND KASHMIR,REASI,1251,2395
2025-03-01,JAMMU AND KASHMIR,SAMBA,529,825
2025-03-01,JAMMU AND KASHMIR,SHUPIYAN,693,1169
2025-03-01,JAMMU AND KASHMIR,SRINAGAR,1965,5087
2025-03-01,JAMMU AND KASHMIR,UDHAMPUR,3126,4770
2025-03-01,JHARKHAND,BOKARO,3629,8264
2025-03-01,JHARKHAND,CHATRA,5091,7042
2025-03-01,JHARKHAND,DEOGHAR,5230,5790
2025-03-01,JHARKHAND,DHANBAD,7080,17070
2025-03-01,JHARKHAND,DUMKA,8376,6943
2025-03-01,JHARKHAND,EAST SINGHBHUM,10278,11606
2025-03-01,JHARKHAND,GARHWA,6945,10447
2025-03-01,JHARKHAND,GARHWA *,77,822
2025-03-01,JHARKHAND,GIRIDIH,8203,10019
2025-03-01,JHARKHAND,GODDA,8171,6322
2025-03-01,JHARKHAND,GUMLA,3986,6975
2025-03-01,JHARKHAND,HAZARIBAG,234,809
2025-03-01,JHARKHAND,HAZARIBAGH,6244,5370
2025-03-01,JHARKHAND,JAMTARA,2625,3787
2025-03-01,JHARKHAND,KHUNTI,2118,3257
2025-03-01,JHARKHAND,KODARMA,224,599
2025-03-01,JHARKHAND,KODERMA,2935,3451
2025-03-01,JHARKHAND,LATEHAR,4341,3293
2025-03-01,JHARKHAND,LOHARDAGA,2355,4669
2025-03-01,JHARKHAND,PAKAUR,269,284
2025-03-01,JHARKHAND,PAKUR,4065,3049
2025-03-01,JHARKHAND,PALAMAU,84,388
2025-03-01,JHARKHAND,PALAMU,9446,10392
2025-03-01,JHARKHAND,PASHCHIMI SINGHBHUM,751,1529
2025-03-01,JHARKHAND,PURBI SINGHBHUM,917,2737
2025-03-01,JHARKHAND,RAMGARH,2636,2897
2025-03-01,JHARKHAND,RANCHI,11510,23635
2025-03-01,JHARKHAND,SAHEBGANJ,6267,5248
2025-03-01,JHARKHAND,SAHIBGANJ,51,194
2025-03-01,JHARKHAND,SERAIKELA-KHARSAWAN,4741,5948
2025-03-01,JHARKHAND,SIMDEGA,2855,5188
2025-03-01,JHARKHAND,WEST SINGHBHUM,11055,9473
2025-03-01,KARNATAKA,BAGALKOT,5662,4800
2025-03-01,KARNATAKA,BAGALKOT *,51,124
2025-03-01,KARNATAKA,BALLARI,2984,1625
2025-03-01,KARNATAKA,BANGALORE,4949,18641
2025-03-01,KARNATAKA,BANGALORE RURAL,1414,2087
2025-03-01,KARNATAKA,BELAGAVI,6453,3871
2025-03-01,KARNATAKA,BELGAUM,6317,9227
2025-03-01,KARNATAKA,BELLARY,3852,4871
2025-03-01,KARNATAKA,BENGALURU,14823,19747
2025-03-01,KARNATAKA,BIDAR,3330,5333
2025-03-01,KARNATAKA,BIJAPUR,2876,4524
2025-03-01,KARNATAKA,CHAMARAJANAGAR,18,81
2025-03-01,KARNATAKA,CHAMRAJANAGAR,1057,1429
2025-03-01,KARNATAKA,CHAMRAJNAGAR,22,73
2025-03-01,KARNATAKA,CHICKMAGALUR,600,2060
2025-03-01,KARNATAKA,CHIKKABALLAPUR,3015,2627
2025-03-01,KARNATAKA,CHIKKAMAGALURU,827,880
2025-03-01,KARNATAKA,CHIKMAGALUR,15,91
2025-03-01,KARNATAKA,CHITRADURGA,2547,4326
2025-03-01,KARNATAKA,DAKSHINA KANNADA,2780,5479
2025-03-01,KARNATAKA,DAVANAGERE,199,408
2025-03-01,KARNATAKA,DAVANGERE,5081,6406
2025-03-01,KARNATAKA,DHARWAD,6422,7178
2025-03-01,KARNATAKA,GADAG,3169,2227
2025-03-01,KARNATAKA,GADAG *,70,106
2025-03-01,KARNATAKA,GULBARGA,2358,5141
2025-03-01,KARNATAKA,HASAN,216,748
2025-03-01,KARNATAKA,HASSAN,2862,2564
2025-03-01,KARNATAKA,HAVERI,7079,3681
2025-03-01,KARNATAKA,HAVERI *,83,114
2025-03-01,KARNATAKA,KALABURAGI,4847,3255
2025-03-01,KARNATAKA,KODAGU,677,1164
2025-03-01,KARNATAKA,KOLAR,3153,4871
2025-03-01,KARNATAKA,KOPPAL,3016,3348
2025-03-01,KARNATAKA,MANDYA,2412,4580
2025-03-01,KARNATAKA,MYSORE,1431,4861
2025-03-01,KARNATAKA,MYSURU,2850,3420
2025-03-01,KARNATAKA,RAICHUR,4424,6106
2025-03-01,KARNATAKA,RAMANAGAR,1433,2586
2025-03-01,KARNATAKA,SHIMOGA,585,2034
2025-03-01,KARNATAKA,SHIVAMOGGA,1755,1463
2025-03-01,KARNATAKA,TUMAKURU,2194,2246
2025-03-01,KARNATAKA,TUMKUR,1797,5508
2025-03-01,KARNATAKA,UDUPI,1579,1759
2025-03-01,KARNATAKA,UTTARA KANNADA,2057,2476
2025-03-01,KARNATAKA,VIJAYANAGARA,854,1314
2025-03-01,KARNATAKA,VIJAYAPURA,4798,2429
2025-03-01,KARNATAKA,YADGIR,3545,3702
2025-03-01,KERALA,ALAPPUZHA,3226,6251
2025-03-01,KERALA,ERNAKULAM,5737,11380
2025-03-01,KERALA,IDUKKI,1958,3567
2025-03-01,KERALA,KANNUR,4097,6968
2025-03-01,KERALA,KASARAGOD,3272,3496
2025-03-01,KERALA,KASARGOD,14,64
2025-03-01,KERALA,KOLLAM,4871,8548
2025-03-01,KERALA,KOTTAYAM,2277,4982
2025-03-01,KERALA,KOZHIKODE,5544,7757
2025-03-01,KERALA,MALAPPURAM,10776,12728
2025-03-01,KERALA,PALAKKAD,8738,11823
2025-03-01,KERALA,PATHANAMTHITTA,1645,4606
2025-03-01,KERALA,THIRUVANANTHAPURAM,6652,11037
2025-03-01,KERALA,THRISSUR,7177,9335
2025-03-01,KERALA,WAYANAD,1262,2937
2025-03-01,LADAKH,KARGIL,277,243
2025-03-01,LADAKH,LEH,181,255
2025-03-01,LAKSHADWEEP,LAKSHADWEEP,198,227
2025-03-01,MADHYA PRADESH,AGAR MALWA,619,1070
2025-03-01,MADHYA PRADESH,ALIRAJPUR,1527,3407
2025-03-01,MADHYA PRADESH,ANUPPUR,2298,5334
2025-03-01,MADHYA PRADESH,ASHOK NAGAR,4292,4547
2025-03-01,MADHYA PRADESH,BALAGHAT,6402,8235
2025-03-01,MADHYA PRADESH,BARWANI,7982,9951
2025-03-01,MADHYA PRADESH,BETUL,3867,10755
2025-03-01,MADHYA PRADESH,BHIND,4405,3388
2025-03-01,MADHYA PRADESH,BHOPAL,7463,9049
2025-03-01,MADHYA PRADESH,BURHANPUR,2197,3534
2025-03-01,MADHYA PRADESH,CHHATARPUR,9711,11673
2025-03-01,MADHYA PRADESH,CHHINDWARA,3694,10171
2025-03-01,MADHYA PRADESH,DAMOH,7936,12055
2025-03-01,MADHYA PRADESH,DATIA,2230,2509
2025-03-01,MADHYA PRADESH,DEWAS,3249,6322
2025-03-01,MADHYA PRADESH,DHAR,6968,9976
2025-03-01,MADHYA PRADESH,DINDORI,2267,4844
2025-03-01,MADHYA PRADESH,EAST NIMAR,886,3438
2025-03-01,MADHYA PRADESH,GUNA,8594,5775
2025-03-01,MADHYA PRADESH,GWALIOR,7276,7161
2025-03-01,MADHYA PRADESH,HARDA,2514,2489
2025-03-01,MADHYA PRADESH,HARDA *,193,933
2025-03-01,MADHYA PRADESH,HOSHANGABAD,4135,6141
2025-03-01,MADHYA PRADESH,INDORE,11298,10515
2025-03-01,MADHYA PRADESH,JABALPUR,6187,7925
2025-03-01,MADHYA PRADESH,JHABUA,2387,6541
2025-03-01,MADHYA PRADESH,KATNI,3239,8903
2025-03-01,MADHYA PRADESH,KHANDWA,3295,2578
2025-03-01,MADHYA PRADESH,KHARGONE,8855,11255
2025-03-01,MADHYA PRADESH,MANDLA,3181,4150
2025-03-01,MADHYA PRADESH,MANDSAUR,5021,6824
2025-03-01,MADHYA PRADESH,MORENA,13912,6993
2025-03-01,MADHYA PRADESH,NARMADAPURAM,167,686
2025-03-01,MADHYA PRADESH,NARSIMHAPUR,135,552
2025-03-01,MADHYA PRADESH,NARSINGHPUR,2155,2658
2025-03-01,MADHYA PRADESH,NEEMUCH,2497,2092
2025-03-01,MADHYA PRADESH,NIWARI,158,132
2025-03-01,MADHYA PRADESH,PANNA,4877,8614
2025-03-01,MADHYA PRADESH,RAISEN,3285,5491
2025-03-01,MADHYA PRADESH,RAJGARH,10071,14023
2025-03-01,MADHYA PRADESH,RATLAM,4993,5623
2025-03-01,MADHYA PRADESH,REWA,13084,10964
2025-03-01,MADHYA PRADESH,SAGAR,10882,12949
2025-03-01,MADHYA PRADESH,SATNA,7162,11270
2025-03-01,MADHYA PRADESH,SEHORE,4438,8568
2025-03-01,MADHYA PRADESH,SEONI,5711,5702
2025-03-01,MADHYA PRADESH,SHAHDOL,3159,7894
2025-03-01,MADHYA PRADESH,SHAJAPUR,7862,8321
2025-03-01,MADHYA PRADESH,SHEOPUR,3043,3816
2025-03-01,MADHYA PRADESH,SHIVPURI,9627,7104
2025-03-01,MADHYA PRADESH,SIDHI,12873,7426
2025-03-01,MADHYA PRADESH,SINGRAULI,9011,6282
2025-03-01,MADHYA PRADESH,TIKAMGARH,9269,13144
2025-03-01,MADHYA PRADESH,UJJAIN,5583,6762
2025-03-01,MADHYA PRADESH,UMARIA,1403,3187
2025-03-01,MADHYA PRADESH,VIDISHA,5177,5933
2025-03-01,MADHYA PRADESH,WEST NIMAR,259,763
2025-03-01,MAHARASHTRA,AHMADNAGAR,8342,22641
2025-03-01,MAHARASHTRA,AHMED NAGAR,15,170
2025-03-01,MAHARASHTRA,AKOLA,5799,19830
2025-03-01,MAHARASHTRA,AMRAVATI,9464,30849
2025-03-01,MAHARASHTRA,AURANGABAD,11805,21622
2025-03-01,MAHARASHTRA,BEED,8159,16280
2025-03-01,MAHARASHTRA,BHANDARA,2521,8744
2025-03-01,MAHARASHTRA,BID,10,417
2025-03-01,MAHARASHTRA,BULDANA,127,3139
2025-03-01,MAHARASHTRA,BULDHANA,6763,13362
2025-03-01,MAHARASHTRA,CHANDRAPUR,7293,17284
2025-03-01,MAHARASHTRA,CHATRAPATI SAMBHAJI NAGAR,41,246
2025-03-01,MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR,31,156
2025-03-01,MAHARASHTRA,DHULE,5157,14043
2025-03-01,MAHARASHTRA,GADCHIROLI,2665,9929
2025-03-01,MAHARASHTRA,GONDIYA,4074,7263
2025-03-01,MAHARASHTRA,HINGOLI,2200,5880
2025-03-01,MAHARASHTRA,JALGAON,11108,29512
2025-03-01,MAHARASHTRA,JALNA,5388,11402
2025-03-01,MAHARASHTRA,KOLHAPUR,9588,18096
2025-03-01,MAHARASHTRA,LATUR,9558,19388
