date,state,district,demo_age_5_17,demo_age_17_
2025-03-01,BIHAR,PATNA,4807,41971
2025-03-01,BIHAR,PURNIA,2194,26114
2025-03-01,BIHAR,ROHTAS,2121,19596
2025-03-01,BIHAR,SAHARSA,1584,18727
2025-03-01,BIHAR,SAMASTIPUR,4382,44385
2025-03-01,BIHAR,SARAN,3695,41077
2025-03-01,BIHAR,SHEIKHPURA,490,5055
2025-03-01,BIHAR,SHEOHAR,778,7797
2025-03-01,BIHAR,SITAMARHI,3044,36696
2025-03-01,BIHAR,SIWAN,2637,26684
2025-03-01,BIHAR,SUPAUL,1661,29320
2025-03-01,BIHAR,VAISHALI,3660,39009
2025-03-01,BIHAR,WEST CHAMPARAN,4317,42725
2025-03-01,CHANDIGARH,CHANDIGARH,1296,8949
2025-03-01,CHHATTISGARH,BALOD,827,10913
2025-03-01,CHHATTISGARH,BALODA BAZAR,369,16044
2025-03-01,CHHATTISGARH,BALRAMPUR,392,4458
2025-03-01,CHHATTISGARH,BASTAR,878,10394
2025-03-01,CHHATTISGARH,BEMETARA,354,10548
2025-03-01,CHHATTISGARH,BIJAPUR,294,3385
2025-03-01,CHHATTISGARH,BILASPUR,1066,19431
2025-03-01,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,364,771
2025-03-01,CHHATTISGARH,DANTEWADA,162,243
2025-03-01,CHHATTISGARH,DHAMTARI,382,10273
2025-03-01,CHHATTISGARH,DURG,1512,10144
2025-03-01,CHHATTISGARH,GARIYABAND,122,5062
2025-03-01,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,79,773
2025-03-01,CHHATTISGARH,JANJGIR-CHAMPA,1438,30658
2025-03-01,CHHATTISGARH,JASHPUR,1352,6992
2025-03-01,CHHATTISGARH,KABEERDHAM,215,3840
2025-03-01,CHHATTISGARH,KANKER,558,4198
2025-03-01,CHHATTISGARH,KAWARDHA,637,17645
2025-03-01,CHHATTISGARH,KONDAGAON,114,1192
2025-03-01,CHHATTISGARH,KORBA,223,4727
2025-03-01,CHHATTISGARH,KORIYA,413,3746
2025-03-01,CHHATTISGARH,MAHASAMUND,309,3131
2025-03-01,CHHATTISGARH,MOHALLA-MANPUR-AMBAGARH CHOWKI,14,54
2025-03-01,CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,99,611
2025-03-01,CHHATTISGARH,MUNGELI,278,15373
2025-03-01,CHHATTISGARH,NARAYANPUR,358,1920
2025-03-01,CHHATTISGARH,RAIGARH,1833,19707
2025-03-01,CHHATTISGARH,RAIPUR,1175,20034
2025-03-01,CHHATTISGARH,RAJNANDGAON,886,24246
2025-03-01,CHHATTISGARH,SAKTI,99,789
2025-03-01,CHHATTISGARH,SUKMA,260,1427
2025-03-01,CHHATTISGARH,SURAJPUR,570,7642
2025-03-01,CHHATTISGARH,SURGUJA,939,11184
2025-03-01,CHHATTISGARH,UTTAR BASTAR KANKER,128,1212
2025-03-01,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,49,593
2025-03-01,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,34,572
2025-03-01,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,35,156
2025-03-01,DAMAN AND DIU,DAMAN,18,186
2025-03-01,DELHI,CENTRAL DELHI,1049,12943
2025-03-01,DELHI,EAST DELHI,1926,16285
2025-03-01,DELHI,NEW DELHI,252,1390
2025-03-01,DELHI,NORTH DELHI,965,11456
2025-03-01,DELHI,NORTH EAST,23,2908
2025-03-01,DELHI,NORTH EAST DELHI,2275,15592
2025-03-01,DELHI,NORTH WEST DELHI,6373,62825
2025-03-01,DELHI,SHAHDARA,660,4206
2025-03-01,DELHI,SOUTH DELHI,2881,36563
2025-03-01,DELHI,SOUTH WEST DELHI,3502,32761
2025-03-01,DELHI,WEST DELHI,4328,45156
2025-03-01,GOA,NORTH GOA,653,3568
2025-03-01,GOA,SOUTH GOA,570,2780
2025-03-01,GUJARAT,AHMEDABAD,9162,55255
2025-03-01,GUJARAT,AMRELI,1128,7235
2025-03-01,GUJARAT,ANAND,1001,11416
2025-03-01,GUJARAT,ARVALLI,740,1351
2025-03-01,GUJARAT,BANASKANTHA,2962,12676
2025-03-01,GUJARAT,BHARUCH,2761,13952
2025-03-01,GUJARAT,BHAVNAGAR,2409,14481
2025-03-01,GUJARAT,BOTAD,721,1931
2025-03-01,GUJARAT,CHHOTAUDEPUR,740,2493
2025-03-01,GUJARAT,DAHOD,2071,11658
2025-03-01,GUJARAT,DEVBHUMI DWARKA,167,1511
2025-03-01,GUJARAT,DOHAD,42,920
2025-03-01,GUJARAT,GANDHINAGAR,1801,12352
2025-03-01,GUJARAT,GIR SOMNATH,933,2191
2025-03-01,GUJARAT,JAMNAGAR,1436,11597
2025-03-01,GUJARAT,JUNAGADH,1663,9295
2025-03-01,GUJARAT,KACHCHH,2113,10502
2025-03-01,GUJARAT,KHEDA,3116,17120
2025-03-01,GUJARAT,MAHESANA,2590,12569
2025-03-01,GUJARAT,MAHISAGAR,238,1710
2025-03-01,GUJARAT,MORBI,552,2353
2025-03-01,GUJARAT,NARMADA,955,3082
2025-03-01,GUJARAT,NAVSARI,2844,8310
2025-03-01,GUJARAT,PANCHMAHALS,878,6690
2025-03-01,GUJARAT,PATAN,988,6330
2025-03-01,GUJARAT,PORBANDAR,829,3297
2025-03-01,GUJARAT,RAJKOT,2099,22508
2025-03-01,GUJARAT,SABARKANTHA,2777,10632
2025-03-01,GUJARAT,SURAT,7172,56297
2025-03-01,GUJARAT,SURENDRA NAGAR,1653,12061
2025-03-01,GUJARAT,TAPI,1115,3072
2025-03-01,GUJARAT,THE DANGS,484,1400
2025-03-01,GUJARAT,VADODARA,3492,27140
2025-03-01,GUJARAT,VALSAD,3409,11950
2025-03-01,HARYANA,AMBALA,516,4084
2025-03-01,HARYANA,BHIWANI,601,5350
2025-03-01,HARYANA,CHARKHI DADRI,312,2114
2025-03-01,HARYANA,FARIDABAD,2675,21482
2025-03-01,HARYANA,FATEHABAD,802,7118
2025-03-01,HARYANA,GURGAON,2270,19163
2025-03-01,HARYANA,HISAR,1003,9821
2025-03-01,HARYANA,JHAJJAR,808,5900
2025-03-01,HARYANA,JIND,673,5955
2025-03-01,HARYANA,KAITHAL,969,8135
2025-03-01,HARYANA,KARNAL,1203,9116
2025-03-01,HARYANA,KURUKSHETRA,636,4982
2025-03-01,HARYANA,MAHENDRAGARH,478,4766
2025-03-01,HARYANA,MEWAT,814,7691
2025-03-01,HARYANA,PALWAL,1067,9937
2025-03-01,HARYANA,PANCHKULA,1000,5478
2025-03-01,HARYANA,PANIPAT,393,2836
2025-03-01,HARYANA,REWARI,903,5174
2025-03-01,HARYANA,ROHTAK,577,3477
2025-03-01,HARYANA,SIRSA,669,7127
2025-03-01,HARYANA,SONIPAT,1089,8791
2025-03-01,HARYANA,YAMUNA NAGAR,1085,8223
2025-03-01,HIMACHAL PRADESH,BILASPUR,136,885
2025-03-01,HIMACHAL PRADESH,CHAMBA,1006,3938
2025-03-01,HIMACHAL PRADESH,HAMIRPUR,103,756
2025-03-01,HIMACHAL PRADESH,KANGRA,960,7812
2025-03-01,HIMACHAL PRADESH,KULLU,273,1431
2025-03-01,HIMACHAL PRADESH,MANDI,730,3372
2025-03-01,HIMACHAL PRADESH,SHIMLA,378,2808
2025-03-01,HIMACHAL PRADESH,SIRMAUR,729,3559
2025-03-01,HIMACHAL PRADESH,SOLAN,251,1577
2025-03-01,HIMACHAL PRADESH,UNA,121,976
2025-03-01,JAMMU AND KASHMIR,ANANTNAG,1210,7828
2025-03-01,JAMMU AND KASHMIR,BADGAM,325,3926
2025-03-01,JAMMU AND KASHMIR,BANDIPORE,369,2119
2025-03-01,JAMMU AND KASHMIR,BARAMULA,1033,5263
2025-03-01,JAMMU AND KASHMIR,BUDGAM,1603,3792
2025-03-01,JAMMU AND KASHMIR,DODA,264,2181
2025-03-01,JAMMU AND KASHMIR,GANDERBAL,179,1123
2025-03-01,JAMMU AND KASHMIR,JAMMU,858,9258
2025-03-01,JAMMU AND KASHMIR,KARGIL,82,354
2025-03-01,JAMMU AND KASHMIR,KATHUA,407,4528
2025-03-01,JAMMU AND KASHMIR,KULGAM,462,2414
2025-03-01,JAMMU AND KASHMIR,KUPWARA,1260,6342
2025-03-01,JAMMU AND KASHMIR,LEH,72,294
2025-03-01,JAMMU AND KASHMIR,PULWAMA,559,3044
2025-03-01,JAMMU AND KASHMIR,PUNCH,767,5067
2025-03-01,JAMMU AND KASHMIR,RAJOURI,687,3575
2025-03-01,JAMMU AND KASHMIR,RAMBAN,397,1482
2025-03-01,JAMMU AND KASHMIR,REASI,458,2926
2025-03-01,JAMMU AND KASHMIR,SAMBA,107,948
2025-03-01,JAMMU AND KASHMIR,SHUPIYAN,417,1491
2025-03-01,JAMMU AND KASHMIR,SRINAGAR,793,7017
2025-03-01,JAMMU AND KASHMIR,UDHAMPUR,379,4584
2025-03-01,JHARKHAND,BOKARO,696,30424
2025-03-01,JHARKHAND,CHATRA,771,15350
2025-03-01,JHARKHAND,DEOGHAR,839,25753
2025-03-01,JHARKHAND,DHANBAD,1576,51451
2025-03-01,JHARKHAND,DUMKA,1035,23577
2025-03-01,JHARKHAND,EAST SINGHBHUM,1142,20118
2025-03-01,JHARKHAND,GARHWA,422,9519
2025-03-01,JHARKHAND,GIRIDIH,2465,65203
2025-03-01,JHARKHAND,GODDA,702,17494
2025-03-01,JHARKHAND,GUMLA,502,10116
2025-03-01,JHARKHAND,HAZARIBAG,44,3434
2025-03-01,JHARKHAND,HAZARIBAGH,1426,27417
2025-03-01,JHARKHAND,JAMTARA,318,11822
2025-03-01,JHARKHAND,KHUNTI,371,7375
2025-03-01,JHARKHAND,KODARMA,12,551
2025-03-01,JHARKHAND,KODERMA,324,12209
2025-03-01,JHARKHAND,LATEHAR,627,12455
2025-03-01,JHARKHAND,LOHARDAGA,311,6001
2025-03-01,JHARKHAND,PAKAUR,46,1333
2025-03-01,JHARKHAND,PAKUR,1025,22716
2025-03-01,JHARKHAND,PALAMAU,17,1321
2025-03-01,JHARKHAND,PALAMU,2722,52336
2025-03-01,JHARKHAND,PASHCHIMI SINGHBHUM,40,2616
2025-03-01,JHARKHAND,RAMGARH,625,14401
2025-03-01,JHARKHAND,RANCHI,2195,35596
2025-03-01,JHARKHAND,SAHEBGANJ,1040,22324
2025-03-01,JHARKHAND,SAHIBGANJ,13,662
2025-03-01,JHARKHAND,SERAIKELA-KHARSAWAN,418,8451
2025-03-01,JHARKHAND,SIMDEGA,458,8904
2025-03-01,JHARKHAND,WEST SINGHBHUM,771,14735
2025-03-01,KARNATAKA,BAGALKOT,6710,9754
2025-03-01,KARNATAKA,BAGALKOT *,24,87
2025-03-01,KARNATAKA,BALLARI,1424,5310
2025-03-01,KARNATAKA,BANGALORE,756,8034
2025-03-01,KARNATAKA,BANGALORE RURAL,492,5093
2025-03-01,KARNATAKA,BELAGAVI,6504,11546
2025-03-01,KARNATAKA,BELGAUM,6671,12317
2025-03-01,KARNATAKA,BELLARY,1163,5712
2025-03-01,KARNATAKA,BENGALURU,7330,50407
2025-03-01,KARNATAKA,BIDAR,1812,10301
2025-03-01,KARNATAKA,BIJAPUR,2894,6420
2025-03-01,KARNATAKA,CHAMRAJANAGAR,954,3983
2025-03-01,KARNATAKA,CHAMRAJNAGAR,28,24
2025-03-01,KARNATAKA,CHICKMAGALUR,181,1449
2025-03-01,KARNATAKA,CHIKKABALLAPUR,1083,7919
2025-03-01,KARNATAKA,CHIKKAMAGALURU,588,2431
2025-03-01,KARNATAKA,CHITRADURGA,1400,9013
2025-03-01,KARNATAKA,DAKSHINA KANNADA,2446,14069
2025-03-01,KARNATAKA,DAVANAGERE,58,272
2025-03-01,KARNATAKA,DAVANGERE,1520,5814
2025-03-01,KARNATAKA,DHARWAD,4738,9235
2025-03-01,KARNATAKA,GADAG,3851,5201
2025-03-01,KARNATAKA,GADAG *,53,85
2025-03-01,KARNATAKA,GULBARGA,524,3348
2025-03-01,KARNATAKA,HASAN,25,166
2025-03-01,KARNATAKA,HASSAN,1467,6522
2025-03-01,KARNATAKA,HAVERI,6278,6725
2025-03-01,KARNATAKA,HAVERI *,88,192
2025-03-01,KARNATAKA,KALABURAGI,1892,6192
2025-03-01,KARNATAKA,KODAGU,299,2302
2025-03-01,KARNATAKA,KOLAR,1094,8671
2025-03-01,KARNATAKA,KOPPAL,1920,7737
2025-03-01,KARNATAKA,MANDYA,1103,9607
2025-03-01,KARNATAKA,MYSORE,317,2686
2025-03-01,KARNATAKA,MYSURU,1308,7910
2025-03-01,KARNATAKA,RAICHUR,1203,7460
2025-03-01,KARNATAKA,RAMANAGAR,966,7350
2025-03-01,KARNATAKA,SHIMOGA,309,2224
2025-03-01,KARNATAKA,SHIVAMOGGA,1894,6956
2025-03-01,KARNATAKA,TUMAKURU,1286,6218
2025-03-01,KARNATAKA,TUMKUR,883,5608
2025-03-01,KARNATAKA,UDUPI,1135,6735
2025-03-01,KARNATAKA,UTTARA KANNADA,1738,7666
2025-03-01,KARNATAKA,VIJAYANAGARA,859,3421
2025-03-01,KARNATAKA,VIJAYAPURA,4662,5395
2025-03-01,KARNATAKA,YADGIR,2116,7682
2025-03-01,KERALA,ALAPPUZHA,206,2629
2025-03-01,KERALA,ERNAKULAM,926,9472
2025-03-01,KERALA,IDUKKI,129,1430
2025-03-01,KERALA,KANNUR,700,6329
2025-03-01,KERALA,KASARAGOD,540,4127
2025-03-01,KERALA,KOLLAM,621,5923
2025-03-01,KERALA,KOTTAYAM,87,953
2025-03-01,KERALA,KOZHIKODE,1741,15244
2025-03-01,KERALA,MALAPPURAM,1981,21196
2025-03-01,KERALA,PALAKKAD,532,5546
2025-03-01,KERALA,PATHANAMTHITTA,63,573
2025-03-01,KERALA,THIRUVANANTHAPURAM,888,8851
2025-03-01,KERALA,THRISSUR,586,4978
2025-03-01,KERALA,WAYANAD,410,4189
2025-03-01,LADAKH,KARGIL,309,637
2025-03-01,LADAKH,LEH,440,1180
2025-03-01,MADHYA PRADESH,AGAR MALWA,200,1966
2025-03-01,MADHYA PRADESH,ALIRAJPUR,504,6836
2025-03-01,MADHYA PRADESH,ANUPPUR,353,3860
2025-03-01,MADHYA PRADESH,ASHOK NAGAR,767,7226
2025-03-01,MADHYA PRADESH,BALAGHAT,2745,17133
2025-03-01,MADHYA PRADESH,BARWANI,1605,12675
2025-03-01,MADHYA PRADESH,BETUL,1826,9784
2025-03-01,MADHYA PRADESH,BHIND,1482,13377
2025-03-01,MADHYA PRADESH,BHOPAL,1844,15489
2025-03-01,MADHYA PRADESH,BURHANPUR,753,3189
2025-03-01,MADHYA PRADESH,CHHATARPUR,2585,21358
2025-03-01,MADHYA PRADESH,CHHINDWARA,2400,11513
2025-03-01,MADHYA PRADESH,DAMOH,929,10846
2025-03-01,MADHYA PRADESH,DATIA,913,7399
2025-03-01,MADHYA PRADESH,DEWAS,1095,12830
2025-03-01,MADHYA PRADESH,DHAR,2248,14409
2025-03-01,MADHYA PRADESH,DINDORI,676,6609
2025-03-01,MADHYA PRADESH,EAST NIMAR,381,2508
2025-03-01,MADHYA PRADESH,GUNA,688,10221
2025-03-01,MADHYA PRADESH,GWALIOR,2014,15266
2025-03-01,MADHYA PRADESH,HARDA,400,1895
2025-03-01,MADHYA PRADESH,HARDA *,74,692
2025-03-01,MADHYA PRADESH,HOSHANGABAD,359,1994
2025-03-01,MADHYA PRADESH,INDORE,3265,22947
2025-03-01,MADHYA PRADESH,JABALPUR,1578,19130
2025-03-01,MADHYA PRADESH,JHABUA,870,11823
2025-03-01,MADHYA PRADESH,KATNI,967,10714
2025-03-01,MADHYA PRADESH,KHANDWA,1775,3894
2025-03-01,MADHYA PRADESH,KHARGONE,1713,10477
2025-03-01,MADHYA PRADESH,MAIHAR,79,923
2025-03-01,MADHYA PRADESH,MANDLA,1352,8364
2025-03-01,MADHYA PRADESH,MANDSAUR,3894,14326
2025-03-01,MADHYA PRADESH,MAUGANJ,48,920
2025-03-01,MADHYA PRADESH,MORENA,2789,29633
2025-03-01,MADHYA PRADESH,NARMADAPURAM,90,799
2025-03-01,MADHYA PRADESH,NARSIMHAPUR,32,502
2025-03-01,MADHYA PRADESH,NARSINGHPUR,747,5150
2025-03-01,MADHYA PRADESH,NEEMUCH,949,6505
2025-03-01,MADHYA PRADESH,NIWARI,71,473
2025-03-01,MADHYA PRADESH,PANNA,673,10956
2025-03-01,MADHYA PRADESH,RAISEN,1156,8260
2025-03-01,MADHYA PRADESH,RAJGARH,2106,10399
2025-03-01,MADHYA PRADESH,RATLAM,1486,15805
2025-03-01,MADHYA PRADESH,REWA,1868,18520
2025-03-01,MADHYA PRADESH,SAGAR,1128,16281
2025-03-01,MADHYA PRADESH,SATNA,2019,19467
2025-03-01,MADHYA PRADESH,SEHORE,805,4280
2025-03-01,MADHYA PRADESH,SEONI,2012,18208
2025-03-01,MADHYA PRADESH,SHAHDOL,971,13170
2025-03-01,MADHYA PRADESH,SHAJAPUR,731,5170
2025-03-01,MADHYA PRADESH,SHEOPUR,822,7501
2025-03-01,MADHYA PRADESH,SHIVPURI,2480,23237
2025-03-01,MADHYA PRADESH,SIDHI,1155,13579
2025-03-01,MADHYA PRADESH,SINGRAULI,925,7434
2025-03-01,MADHYA PRADESH,TIKAMGARH,2254,13150
2025-03-01,MADHYA PRADESH,UJJAIN,2175,15113
2025-03-01,MADHYA PRADESH,UMARIA,646,8332
2025-03-01,MADHYA PRADESH,VIDISHA,1146,5752
2025-03-01,MADHYA PRADESH,WEST NIMAR,22,43
2025-03-01,MAHARASHTRA,AHMADNAGAR,1274,27685
2025-03-01,MAHARASHTRA,AKOLA,556,9714
2025-03-01,MAHARASHTRA,AMRAVATI,1169,13166
2025-03-01,MAHARASHTRA,AURANGABAD,1241,20315
2025-03-01,MAHARASHTRA,BEED,1133,27733
2025-03-01,MAHARASHTRA,BHANDARA,268,5318
2025-03-01,MAHARASHTRA,BULDHANA,872,12410
2025-03-01,MAHARASHTRA,CHANDRAPUR,355,8933
2025-03-01,MAHARASHTRA,CHATRAPATI SAMBHAJI NAGAR,176,2120
2025-03-01,MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR,208,1559
2025-03-01,MAHARASHTRA,DHARASHIV,22,141
2025-03-01,MAHARASHTRA,DHULE,454,6315
2025-03-01,MAHARASHTRA,GADCHIROLI,222,3588
2025-03-01,MAHARASHTRA,GONDIYA,415,4676
2025-03-01,MAHARASHTRA,HINGOLI,390,10091
2025-03-01,MAHARASHTRA,JALGAON,1160,16617
2025-03-01,MAHARASHTRA,JALNA,927,11590
2025-03-01,MAHARASHTRA,KOLHAPUR,868,15179
2025-03-01,MAHARASHTRA,LATUR,877,18154
2025-03-01,MAHARASHTRA,MUMBAI,1278,23195
2025-03-01,MAHARASHTRA,MUMBAI CITY,984,10942
2025-03-01,MAHARASHTRA,MUMBAI SUBURBAN,4058,39957
2025-03-01,MAHARASHTRA,NAGPUR,2249,25703
2025-03-01,MAHARASHTRA,NANDED,1084,22465
2025-03-01,MAHARASHTRA,NANDURBAR,479,4372
2025-03-01,MAHARASHTRA,NASHIK,2083,31017
2025-03-01,MAHARASHTRA,OSMANABAD,614,15327
2025-03-01,MAHARASHTRA,PALGHAR,1624,23551
2025-03-01,MAHARASHTRA,PARBHANI,723,13719
2025-03-01,MAHARASHTRA,PUNE,5781,74631
2025-03-01,MAHARASHTRA,RAIGAD,431,4268
2025-03-01,MAHARASHTRA,RAIGARH,954,9301
2025-03-01,MAHARASHTRA,RATNAGIRI,188,3524
2025-03-01,MAHARASHTRA,SANGLI,271,6281
2025-03-01,MAHARASHTRA,SATARA,529,10238
2025-03-01,MAHARASHTRA,SINDHUDURG,125,2000
2025-03-01,MAHARASHTRA,SOLAPUR,1562,31965
2025-03-01,MAHARASHTRA,THANE,6005,69162
2025-03-01,MAHARASHTRA,WARDHA,564,4601
2025-03-01,MAHARASHTRA,WASHIM,239,3843
2025-03-01,MAHARASHTRA,YAVATMAL,1238,21186
2025-03-01,MANIPUR,BISHNUPUR,532,4147
2025-03-01,MANIPUR,CHANDEL,265,1347
2025-03-01,MANIPUR,CHURACHANDPUR,1006,3708
2025-03-01,MANIPUR,IMPHAL EAST,353,2547
2025-03-01,MANIPUR,IMPHAL WEST,694,5271
2025-03-01,MANIPUR,JIRIBAM,11,222
2025-03-01,MANIPUR,SENAPATI,605,3069
